INDEX;geometry;traffic;energysum;conversionfactor
28;POINT (4548201.465674133 3270447.680452128);1305653,0;25275;0,0042125061391171175
29;POINT (4548200.47247449 3270445.905920897);1305653,0;25275;0,0042125061391171175
30;POINT (4552872.012870375 3274276.390057452);1305078,0;25264;0,004210650982325847
31;POINT (4544628.500430127 3270904.937492473);1302490,0;25214;0,004202301163585312
32;POINT (4551199.522884611 3270187.661761777);1269829,0;24582;0,004096925031481527
33;POINT (4546027.021186196 3268474.411536964);1239306,0;23991;0,003998446856281629
34;POINT (4546029.552765984 3268472.584839002);1239306,0;23991;0,003998446856281629
35;POINT (4545006.931455025 3272648.247212517);1227096,0;23755;0,003959053005113961
36;POINT (4545002.445991225 3272649.626686349);1227096,0;23755;0,003959053005113961
37;POINT (4547186.340955624 3270015.88984762);1206491,0;23356;0,003892573864793747
38;POINT (4547186.744734879 3270015.398483908);1206491,0;23356;0,003892573864793747
39;POINT (4537977.779530923 3275175.850822882);1155905,0;22376;0,003729365236196885
40;POINT (4549270.960939276 3277739.894630562);1155646,0;22371;0,0037285296090509043
41;POINT (4549507.70851284 3277474.205834209);1150246,0;22267;0,003711107267011149
42;POINT (4548153.836892976 3269758.929784264);1143570,0;22138;0,0036895680900745926
43;POINT (4546289.950879896 3265522.733403778);1138573,0;22041;0,0036734459709685447
44;POINT (4546291.211378865 3265523.157007467);1138573,0;22041;0,0036734459709685447
45;POINT (4554903.196046107 3267305.680700995);1133818,0;21949;0,0036581046308946496
46;POINT (4547546.164718241 3266869.022884753);1113707,0;21560;0,0035932193122351092
47;POINT (4547546.958892913 3266869.178712429);1113707,0;21560;0,0035932193122351092
48;POINT (4550622.153495992 3269258.972206356);1112494,0;21536;0,0035893057379954383
49;POINT (4550622.147690283 3269258.973777999);1112494,0;21536;0,0035893057379954383
50;POINT (4554899.161379003 3267360.318696004);1107498,0;21439;0,003573186845249028
51;POINT (4548959.441418461 3275946.250352304);1105448,0;21400;0,003566572807993195
52;POINT (4545122.816449115 3272822.382696375);1101232,0;21318;0,003552970475763638
53;POINT (4546273.959337017 3272196.360125659);1096765,0;21232;0,003538558327265196
54;POINT (4553696.043667214 3272385.04303975);1095227,0;21202;0,003533596186143503
55;POINT (4553696.87810759 3272385.680229408);1095227,0;21202;0,003533596186143503
56;POINT (4553212.866524131 3272638.791863601);1087627,0;21055;0,003509075852902366
57;POINT (4553867.03604704 3269401.40636185);1082295,0;20951;0,003491872903317926
58;POINT (4553866.143743988 3269404.845526565);1082295,0;20951;0,003491872903317926
59;POINT (4549223.208503828 3275639.102501712);1080098,0;20909;0,0034847845911954558
60;POINT (4549223.775128089 3275638.692739501);1080098,0;20909;0,0034847845911954558
61;POINT (4543904.178932788 3273116.88098352);1065450,0;20625;0,003437524875232801
62;POINT (4542643.196280328 3272125.271342122);1061581,0;20550;0,0034250420897972804
63;POINT (4552515.720262897 3277334.863311089);1051486,0;20355;0,0033924719892618493
64;POINT (4555392.166395331 3266280.274086727);1050464,0;20335;0,003389174649712844
65;POINT (4555390.460535351 3266278.476608592);1050464,0;20335;0,003389174649712844
66;POINT (4537771.635116221 3273669.918659039);1044450,0;20219;0,0033697713228559756
67;POINT (4537770.716819845 3273668.465079906);1044450,0;20219;0,0033697713228559756
68;POINT (4543026.23299928 3272762.842890576);1040911,0;20150;0,003358353236100662
69;POINT (4543026.400523049 3272762.552053184);1040911,0;20150;0,003358353236100662
70;POINT (4543700.993273808 3274480.139129091);1036199,0;20059;0,003343150629491157
71;POINT (4558091.722647563 3272595.346884294);1023439,0;19812;0,003301982280523143
72;POINT (4558092.328304636 3272595.476227172);1023439,0;19812;0,003301982280523143
73;POINT (4547865.031515146 3266195.864977664);1016242,0;19673;0,003278762170215714
74;POINT (4547864.683753691 3266195.260997565);1016242,0;19673;0,003278762170215714
75;POINT (4550464.66889591 3277110.874600059);997068,0;19302;0,003216899950536035
76;POINT (4550465.26593232 3277111.461425085);997068,0;19302;0,003216899950536035
77;POINT (4551037.914013269 3265631.084946268);958501,0;18555;0,0030924689384161765
78;POINT (4555193.532530663 3270873.511349538);957445,0;18535;0,003089061902639513
79;POINT (4538577.301963129 3273704.181572578);949680,0;18384;0,0030640092200582727
80;POINT (4548836.707273913 3278488.534524431);948690,0;18365;0,003060815124017651
81;POINT (4548834.064607375 3278487.137474911);948690,0;18365;0,003060815124017651
82;POINT (4547194.988411655 3273141.325427942);947992,0;18352;0,003058563124991031
83;POINT (4547194.959518627 3273141.509841234);947992,0;18352;0,003058563124991031
84;POINT (4537458.365152928 3274400.583970102);946487,0;18322;0,003053707453737358
85;POINT (4562129.299672147 3263965.573079954);943635,0;18267;0,003044505876052658
86;POINT (4562129.285834141 3263965.534704865);943635,0;18267;0,003044505876052658
87;POINT (4554437.698735224 3274584.464513235);943380,0;18262;0,003043683154345225
88;POINT (4549758.571154051 3267035.957531023);942517,0;18246;0,003040898805978501
89;POINT (4551038.773671319 3265633.219542488);939871,0;18194;0,003032361858379021
90;POINT (4551039.220723788 3265632.568265687);939871,0;18194;0,003032361858379021
91;POINT (4553716.447321107 3277630.618633276);931084,0;18024;0,003004011836248775
92;POINT (4542397.962567416 3272253.783409898);924221,0;17891;0,002981869330060101
93;POINT (4547862.498938086 3276020.279091406);920720,0;17824;0,002970573844970993
94;POINT (4553716.227393141 3277631.202380627);902284,0;17467;0,0029110926787034143
95;POINT (4546433.108314094 3272383.455279543);898552,0;17395;0,0028990519045381615
96;POINT (4546433.112405881 3272383.4554059);898552,0;17395;0,0028990519045381615
97;POINT (4543013.682983687 3263517.869109923);898304,0;17390;0,0028982517673481873
98;POINT (4543013.071065402 3263518.739142065);898304,0;17390;0,0028982517673481873
99;POINT (4543071.278554878 3263445.9826306);897550,0;17375;0,002895819092181896
100;POINT (4543071.285918375 3263445.988504225);897550,0;17375;0,002895819092181896
101;POINT (4544766.234342844 3264635.314610962);889974,0;17228;0,0028713761915720466
102;POINT (4544766.259418364 3264636.091183231);889974,0;17228;0,0028713761915720466
103;POINT (4550124.398229869 3269746.733052886);886348,0;17158;0,0028596774115283146
